oa21cd,oa_median_priceper,oa_mean_priceper,oa_avg_price,transaction_count,postcode_count,source_file_count
E00000376,2551.02040816327,2831.740521867507,274912.3563218391,87,6,1
E00000377,2452.598390954555,2631.6816746549457,175983.40277777778,72,4,1
E00000378,1922.26743370282,1840.1536876914074,139931.4814814815,27,3,1
E00000379,2200.70588235294,2354.2446105472254,180373.92857142858,84,4,1
E00000380,2306.96821710141,2576.2953348574206,184975.6603773585,106,4,1
E00000381,2183.90804597701,2318.195483469243,172959.01234567902,81,5,1
E00000382,2182.68709327549,2247.4263197418845,160636.5652173913,115,5,1
E00000383,2449.26493335306,2744.354345027502,195738.046875,64,3,1
E00000384,2307.69230769231,2513.3921399855503,167824.1452991453,117,3,1
E00000385,2155.5195368730447,2323.672957746239,163853.7931034483,58,5,1
E00000386,2426.16033755274,2699.5816459251578,270023.0,97,6,1
E00000387,1951.61673103076,2176.5666751378376,161150.12820512822,78,5,1
E00000388,2508.28929365422,2629.882679241239,177264.25,92,3,1
E00000389,2072.360616844605,2333.392231485707,166677.17857142858,84,5,1
E00000390,2237.822004234,2356.86499304704,165440.04385964913,114,3,1
E00000391,2345.301757066465,2540.7472501779785,179119.16666666666,72,3,1
E00000392,2494.7049924357,2737.6292055644635,190455.72151898735,79,4,1
E00000393,2153.84615384615,2350.2437080604223,174338.85714285713,105,5,1
E00000394,2055.49845837616,2208.3419598459727,190396.25352112675,71,4,1
E00000395,2144.44444444444,2496.287869245179,183798.4358974359,117,6,1
E00000396,2249.62630792227,2519.4271103494098,169634.18032786885,61,3,1
E00000397,2135.416666666665,2462.5811673801904,181819.53846153847,78,4,1
E00000398,2159.661017555405,2338.775186565418,179539.140625,128,4,1
E00000399,2277.77777777778,2408.725018681516,183031.52459016393,61,2,1
E00000400,2303.1245729707553,2565.3046533359634,196989.4387755102,98,4,1
E00000401,2280.021717058405,2461.2041041670996,171956.48863636365,88,5,1
E00000402,2278.48101265823,2520.0326853418123,185040.94845360826,97,3,1
E00000403,2416.66666666667,2632.1695482654236,190665.85585585586,111,5,1
E00000404,2373.01587301587,2602.5960765159516,195615.38461538462,91,3,1
E00000405,2260.2062526595046,2471.4963789307303,188560.0,72,3,1
E00000406,2284.557608648835,2429.2195414365756,183648.69607843139,102,4,1
E00000407,2247.30707015788,2418.7830436794898,173932.27777777778,108,5,1
E00000408,2427.62613730356,2606.8815477020594,193745.98958333334,96,6,1
E00000409,2326.88011913626,2521.7096027976404,189140.0,57,4,1
E00000410,2071.22694625402,2253.000267781447,156570.39215686274,102,3,1
E00000411,2377.04019736775,2496.8402292719165,179053.42857142858,70,4,1
E00000412,2365.753219526805,2776.3326713223264,200367.2972972973,74,5,1
E00000413,2301.5873015873,2669.973051587909,194092.4157303371,89,5,1
E00000414,2273.807082307905,2824.6382001003176,182443.4090909091,66,4,1
E00000415,2247.70642201835,2517.7133639920967,185380.56701030929,97,3,1
E00000416,2134.83146067416,2472.850898354573,172145.49333333335,75,3,1
E00000417,2303.83973288815,2565.894476339791,181055.96774193548,93,4,1
E00000418,2238.15452183454,2390.1222694039902,171991.0,80,3,1
E00000419,2062.5,2237.5599081947594,166812.13333333333,105,4,1
E00000420,2201.176737951845,2597.2034788511755,234244.16666666666,54,4,1
E00000421,2201.388888888885,2444.4778902173607,171792.26428571428,140,4,1
E00000422,2476.5529349257304,2550.3007826074736,190700.72222222222,90,6,1
E00000423,2124.22839506173,2388.313094079815,170240.0,98,3,1
E00000424,2065.233253306975,2241.7101429335935,136000.7429906542,214,3,1
E00000425,2151.16279069767,2254.8091007598646,168095.7594936709,79,4,1
E00000426,2371.10955911321,2605.4160364357367,186288.13888888888,108,3,1
E00000427,2188.162960634875,2250.4229328154656,165795.04545454544,110,4,1
E00000428,2052.45153933865,2293.08775857734,194241.88571428572,105,4,1
E00000429,2206.85596586729,2291.899201282787,150963.96226415093,159,3,1
